listeners,connect_fails,pkg_c,cpu_pct,avail_mb,swap_mb,dec_rss_mb,dec_procs
2,0,60.0,5.3,13075,0,583,4
4,0,63.0,5.2,12702,0,1174,8
6,0,63.0,5.4,12293,0,1763,12
8,0,67.0,5.8,11893,0,2352,16
10,0,66.0,5.6,11475,0,2942,20
12,0,74.0,5.4,11039,0,3532,24
14,0,70.0,5.3,10591,0,4122,28
16,0,74.0,5.3,10231,0,4712,32
18,0,71.0,5.5,9829,0,5302,36
20,0,74.0,5.3,9427,0,5892,40
22,0,70.0,6.1,9005,0,6483,44
24,0,80.0,6.7,8591,0,7073,48
26,0,77.0,18.4,8242,0,7663,52
28,0,72.0,30.1,7829,0,8253,56
30,0,76.0,49.6,7405,1,8843,60
32,0,91.0,65.2,7004,1,9434,64
